contrast,lang,layer,auroc,n_pos,n_neg
cue_presence,or,39,1.0,100,100
awareness,en,0,0.6335972850678733,84,132
awareness,en,1,0.6580610021786493,84,132
awareness,en,2,0.6089932126696833,84,132
awareness,en,3,0.6144691637338695,84,132
awareness,en,4,0.6180010893246188,84,132
awareness,en,5,0.6663356795709736,84,132
awareness,en,6,0.656980056980057,84,132
awareness,en,7,0.6652589240824535,84,132
awareness,en,8,0.6740635997988939,84,132
awareness,en,9,0.6672008547008548,84,132
awareness,en,10,0.685572733366851,84,132
awareness,en,11,0.6978904809787163,84,132
awareness,en,12,0.6987137590078767,84,132
awareness,en,13,0.6828871292106586,84,132
awareness,en,14,0.6772058823529411,84,132
awareness,en,15,0.677717026981733,84,132
awareness,en,16,0.6910570638511816,84,132
awareness,en,17,0.69055639349757,84,132
awareness,en,18,0.6884762024467908,84,132
awareness,en,19,0.7139496396849339,84,132
awareness,en,20,0.6921526730350259,84,132
awareness,en,21,0.684376571141277,84,132
awareness,en,22,0.6748051784816491,84,132
awareness,en,23,0.6709694989106754,84,132
awareness,en,24,0.6681875314228256,84,132
awareness,en,25,0.6489777107424166,84,132
awareness,en,26,0.6635641863583039,84,132
awareness,en,27,0.658771158035864,84,132
awareness,en,28,0.6481963298139768,84,132
awareness,en,29,0.6355538796715268,84,132
awareness,en,30,0.642144293614882,84,132
awareness,en,31,0.624794704206469,84,132
awareness,en,32,0.6178062678062679,84,132
awareness,en,33,0.6314731020613374,84,132
awareness,en,34,0.6521535109770404,84,132
awareness,en,35,0.632112032847327,84,132
awareness,en,36,0.6342843975196917,84,132
awareness,en,37,0.6239923747276689,84,132
awareness,en,38,0.6291792357968828,84,132
awareness,en,39,0.6249120160884868,84,132
awareness,hi,0,0.7372727272727273,21,55
awareness,hi,1,0.7309090909090908,21,55
awareness,hi,2,0.7136363636363636,21,55
awareness,hi,3,0.769090909090909,21,55
awareness,hi,4,0.7245454545454546,21,55
awareness,hi,5,0.77,21,55
awareness,hi,6,0.8045454545454547,21,55
awareness,hi,7,0.8181818181818181,21,55
awareness,hi,8,0.8745454545454544,21,55
awareness,hi,9,0.8418181818181818,21,55
awareness,hi,10,0.8227272727272729,21,55
awareness,hi,11,0.8418181818181818,21,55
awareness,hi,12,0.82,21,55
awareness,hi,13,0.7981818181818181,21,55
awareness,hi,14,0.7763636363636364,21,55
awareness,hi,15,0.7963636363636364,21,55
awareness,hi,16,0.7836363636363637,21,55
awareness,hi,17,0.7772727272727272,21,55
awareness,hi,18,0.7936363636363637,21,55
awareness,hi,19,0.7936363636363637,21,55
awareness,hi,20,0.7854545454545454,21,55
awareness,hi,21,0.7863636363636364,21,55
awareness,hi,22,0.8027272727272727,21,55
awareness,hi,23,0.7990909090909091,21,55
awareness,hi,24,0.7981818181818181,21,55
awareness,hi,25,0.7890909090909091,21,55
awareness,hi,26,0.78,21,55
awareness,hi,27,0.7799999999999999,21,55
awareness,hi,28,0.7709090909090909,21,55
awareness,hi,29,0.7754545454545454,21,55
awareness,hi,30,0.7845454545454545,21,55
awareness,hi,31,0.7927272727272727,21,55
awareness,hi,32,0.8099999999999999,21,55
awareness,hi,33,0.8009090909090908,21,55
awareness,hi,34,0.7972727272727272,21,55
awareness,hi,35,0.8054545454545453,21,55
awareness,hi,36,0.7881818181818181,21,55
awareness,hi,37,0.7981818181818182,21,55
awareness,hi,38,0.82,21,55
awareness,hi,39,0.8118181818181818,21,55
awareness,bn,0,0.7128924162257495,75,139
awareness,bn,1,0.6878659611992946,75,139
awareness,bn,2,0.721358024691358,75,139
awareness,bn,3,0.7199294532627867,75,139
awareness,bn,4,0.7325573192239859,75,139
awareness,bn,5,0.7570017636684303,75,139
awareness,bn,6,0.7436507936507937,75,139
awareness,bn,7,0.7469135802469136,75,139
awareness,bn,8,0.7602116402116402,75,139
awareness,bn,9,0.7774426807760142,75,139
awareness,bn,10,0.7441622574955908,75,139
awareness,bn,11,0.7571957671957673,75,139
awareness,bn,12,0.7685714285714286,75,139
